Ultimos 30 Dias,,,,,,,Ultimos 30 Dias,,,,
Dia,cafeterias monterrey,,,,,,Dia,monterrey cafeterias,,,
16/05/2025,0,,,,,,16/05/2025,0,,,
17/05/2025,0,,,,,,17/05/2025,0,,,
18/05/2025,0,,promedio,27.15625,,,18/05/2025,0,,promedio,27.34375
19/05/2025,0,,mensual,814.6875,,,19/05/2025,0,,mensual,820.3125
20/05/2025,0,,,,,,20/05/2025,0,,,
21/05/2025,0,,,,,,21/05/2025,0,,,
22/05/2025,0,,,,,,22/05/2025,0,,,
23/05/2025,0,,,,,,23/05/2025,0,,,
24/05/2025,0,,,,,,24/05/2025,0,,,
25/05/2025,0,,,,,,25/05/2025,0,,,
26/05/2025,0,,,,,,26/05/2025,0,,,
27/05/2025,0,,,,,,27/05/2025,0,,,
28/05/2025,0,,,,,,28/05/2025,0,,,
29/05/2025,0,,,,,,29/05/2025,0,,,
30/05/2025,0,,,,,,30/05/2025,0,,,
31/05/2025,0,,,,,,31/05/2025,0,,,
01/06/2025,0,,,,,,01/06/2025,0,,,
02/06/2025,0,,,,,,02/06/2025,0,,,
03/06/2025,0,,,,,,03/06/2025,0,,,
04/06/2025,75,,,,,,04/06/2025,75,,,
05/06/2025,63,,,,,,05/06/2025,64,,,
06/06/2025,77,,,,,,06/06/2025,77,,,
07/06/2025,97,,,,,,07/06/2025,98,,,
08/06/2025,90,,,,,,08/06/2025,90,,,
09/06/2025,64,,,,,,09/06/2025,65,,,
10/06/2025,69,,,,,,10/06/2025,70,,,
11/06/2025,66,,,,,,11/06/2025,67,,,
12/06/2025,85,,,,,,12/06/2025,86,,,
13/06/2025,83,,,,,,13/06/2025,83,,,
14/06/2025,0,,,,,,14/06/2025,0,,,
15/06/2025,100,,,,,,15/06/2025,100,,,
16/06/2025,0,,,,,,16/06/2025,0,,,
,,,,,,,,,,,
Ultimos 12 meses,,,,,,,Ultimos 12 meses,,,,
Semana,cafeterias monterrey,,,,,,Semana,monterrey cafeterias: (M̩xico),,,
16/06/2024,0,,,,,,16/06/2024,0,,,
23/06/2024,0,,,,,,23/06/2024,0,,,
30/06/2024,66,,promedio,7.773584906,,,30/06/2024,66,,promedio,7.547169811
07/07/2024,0,,,,,,07/07/2024,0,,,
14/07/2024,0,,,,,,14/07/2024,0,,,
21/07/2024,57,,,,,,21/07/2024,57,,,
28/07/2024,0,,,,,,28/07/2024,0,,,
04/08/2024,0,,,,,,04/08/2024,0,,,
11/08/2024,0,,,,,,11/08/2024,0,,,
18/08/2024,0,,,,,,18/08/2024,0,,,
25/08/2024,0,,,,,,25/08/2024,0,,,
01/09/2024,0,,,,,,01/09/2024,0,,,
08/09/2024,0,,,,,,08/09/2024,0,,,
15/09/2024,0,,,,,,15/09/2024,0,,,
22/09/2024,0,,,,,,22/09/2024,0,,,
29/09/2024,0,,,,,,29/09/2024,0,,,
06/10/2024,0,,,,,,06/10/2024,0,,,
13/10/2024,0,,,,,,13/10/2024,0,,,
20/10/2024,0,,,,,,20/10/2024,0,,,
27/10/2024,0,,,,,,27/10/2024,0,,,
03/11/2024,0,,,,,,03/11/2024,0,,,
10/11/2024,0,,,,,,10/11/2024,0,,,
17/11/2024,0,,,,,,17/11/2024,0,,,
24/11/2024,0,,,,,,24/11/2024,0,,,
01/12/2024,0,,,,,,01/12/2024,0,,,
08/12/2024,0,,,,,,08/12/2024,0,,,
15/12/2024,0,,,,,,15/12/2024,0,,,
22/12/2024,0,,,,,,22/12/2024,0,,,
29/12/2024,0,,,,,,29/12/2024,0,,,
05/01/2025,100,,,,,,05/01/2025,100,,,
12/01/2025,0,,,,,,12/01/2025,0,,,
19/01/2025,0,,,,,,19/01/2025,0,,,
26/01/2025,0,,,,,,26/01/2025,0,,,
02/02/2025,0,,,,,,02/02/2025,0,,,
09/02/2025,0,,,,,,09/02/2025,0,,,
16/02/2025,0,,,,,,16/02/2025,0,,,
23/02/2025,57,,,,,,23/02/2025,57,,,
02/03/2025,0,,,,,,02/03/2025,0,,,
09/03/2025,0,,,,,,09/03/2025,0,,,
16/03/2025,0,,,,,,16/03/2025,0,,,
23/03/2025,0,,,,,,23/03/2025,0,,,
30/03/2025,0,,,,,,30/03/2025,0,,,
06/04/2025,58,,,,,,06/04/2025,58,,,
13/04/2025,0,,,,,,13/04/2025,0,,,
20/04/2025,0,,,,,,20/04/2025,0,,,
27/04/2025,0,,,,,,27/04/2025,0,,,
04/05/2025,0,,,,,,04/05/2025,0,,,
11/05/2025,0,,,,,,11/05/2025,0,,,
18/05/2025,0,,,,,,18/05/2025,0,,,
25/05/2025,0,,,,,,25/05/2025,0,,,
01/06/2025,21,,,,,,01/06/2025,21,,,
08/06/2025,24,,,,,,08/06/2025,24,,,
15/06/2025,29,,,,,,15/06/2025,17,,,
